locator_id,chunk_id,source_id,document_id,clean_document_id,page_start,page_end,anchor,locator_text,qa_status
CHLOC-0001,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0001,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,22,22,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=22; pdf_page_end=22; printed_page_start=14; printed_page_end=14; section=2.5.1-2.5.2 -->,PASS
CHLOC-0002,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0002,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,22,22,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=22; pdf_page_end=22; printed_page_start=14; printed_page_end=14; section=2.5.1-2.5.2 -->,PASS
CHLOC-0003,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0003,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,23,24,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=23; pdf_page_end=24; printed_page_start=15; printed_page_end=16; section=2.5.4-2.5.5 -->,PASS
CHLOC-0004,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0004,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,23,24,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=23; pdf_page_end=24; printed_page_start=15; printed_page_end=16; section=2.5.4-2.5.5 -->,PASS
CHLOC-0005,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0005,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,23,24,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=23; pdf_page_end=24; printed_page_start=15; printed_page_end=16; section=2.5.4-2.5.5 -->,PASS
CHLOC-0006,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0006,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,23,24,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=23; pdf_page_end=24; printed_page_start=15; printed_page_end=16; section=2.5.4-2.5.5 -->,PASS
CHLOC-0007,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0007,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,23,24,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=23; pdf_page_end=24; printed_page_start=15; printed_page_end=16; section=2.5.4-2.5.5 -->,PASS
CHLOC-0008,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0008,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,23,24,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=23; pdf_page_end=24; printed_page_start=15; printed_page_end=16; section=2.5.4-2.5.5 -->,PASS
CHLOC-0009,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0009,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,23,24,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=23; pdf_page_end=24; printed_page_start=15; printed_page_end=16; section=2.5.4-2.5.5 -->,PASS
CHLOC-0010,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0010,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,23,24,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=23; pdf_page_end=24; printed_page_start=15; printed_page_end=16; section=2.5.4-2.5.5 -->,PASS
CHLOC-0011,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0011,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,23,24,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=23; pdf_page_end=24; printed_page_start=15; printed_page_end=16; section=2.5.4-2.5.5 -->,PASS
CHLOC-0012,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0012,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,25,25,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=25; pdf_page_end=25; printed_page_start=17; printed_page_end=17; section=2.5.6-2.5.7 -->,PASS
CHLOC-0013,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0013,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,25,25,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=25; pdf_page_end=25; printed_page_start=17; printed_page_end=17; section=2.5.6-2.5.7 -->,PASS
CHLOC-0014,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0014,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,25,26,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=25; pdf_page_end=26; printed_page_start=17; printed_page_end=18; section=2.5.9 -->,PASS
CHLOC-0015,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0015,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,25,26,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=25; pdf_page_end=26; printed_page_start=17; printed_page_end=18; section=2.5.9 -->,PASS
CHLOC-0016,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0016,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,25,26,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=25; pdf_page_end=26; printed_page_start=17; printed_page_end=18; section=2.5.9 -->,PASS
CHLOC-0017,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0017,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,27,29,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=27; pdf_page_end=29; printed_page_start=19; printed_page_end=21; section=2.5.11 -->,PASS
CHLOC-0018,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0018,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,27,29,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=27; pdf_page_end=29; printed_page_start=19; printed_page_end=21; section=2.5.11 -->,PASS
CHLOC-0019,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0019,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,27,29,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=27; pdf_page_end=29; printed_page_start=19; printed_page_end=21; section=2.5.11 -->,PASS
CHLOC-0020,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0020,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,27,29,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=27; pdf_page_end=29; printed_page_start=19; printed_page_end=21; section=2.5.11 -->,PASS
CHLOC-0021,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0021,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,27,29,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=27; pdf_page_end=29; printed_page_start=19; printed_page_end=21; section=2.5.11 -->,PASS
CHLOC-0022,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0022,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,29,29,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=29; pdf_page_end=29; printed_page_start=21; printed_page_end=21; section=2.5.12 -->,PASS
CHLOC-0023,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0023,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,29,29,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=29; pdf_page_end=29; printed_page_start=21; printed_page_end=21; section=2.5.12 -->,PASS
CHLOC-0024,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0024,A01,DOC-A01-ACADEMIC,CLN-A01-ACADEMIC-001,35,35,NOT_APPLICABLE,<!-- locator: source_id=A01; raw_filename=A01__panduan-universitas__2025-2026__verif1__2026-07-24.pdf; locator_type=PDF_PAGE; pdf_page_start=35; pdf_page_end=35; printed_page_start=27; printed_page_end=27; section=2.5.15 -->,PASS
CHLOC-0025,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0001,A02,DOC-A02-ACTIVE,CLN-A02-ACTIVE-001,33,33,NOT_APPLICABLE,<!-- locator: source_id=A02; raw_filename=A02__panduan-fakultas-ilmu-komputer__2025-2026__verif1__2026-07-25.pdf; locator_type=PDF_PAGE; pdf_page_start=33; pdf_page_end=33; printed_page_start=26; printed_page_end=26; section=2.4.1 -->,PASS
CHLOC-0026,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0002,A02,DOC-A02-ACTIVE,CLN-A02-ACTIVE-001,33,33,NOT_APPLICABLE,<!-- locator: source_id=A02; raw_filename=A02__panduan-fakultas-ilmu-komputer__2025-2026__verif1__2026-07-25.pdf; locator_type=PDF_PAGE; pdf_page_start=33; pdf_page_end=33; printed_page_start=26; printed_page_end=26; section=2.4.1 -->,PASS
CHLOC-0027,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0003,A02,DOC-A02-ACTIVE,CLN-A02-ACTIVE-001,33,33,NOT_APPLICABLE,<!-- locator: source_id=A02; raw_filename=A02__panduan-fakultas-ilmu-komputer__2025-2026__verif1__2026-07-25.pdf; locator_type=PDF_PAGE; pdf_page_start=33; pdf_page_end=33; printed_page_start=26; printed_page_end=26; section=2.4.1 -->,PASS
CHLOC-0028,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0004,A02,DOC-A02-ACTIVE,CLN-A02-ACTIVE-001,34,35,NOT_APPLICABLE,<!-- locator: source_id=A02; raw_filename=A02__panduan-fakultas-ilmu-komputer__2025-2026__verif1__2026-07-25.pdf; locator_type=PDF_PAGE; pdf_page_start=34; pdf_page_end=35; printed_page_start=27; printed_page_end=28; section=2.4.3 -->,PASS
CHLOC-0029,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0005,A02,DOC-A02-ACTIVE,CLN-A02-ACTIVE-001,34,35,NOT_APPLICABLE,<!-- locator: source_id=A02; raw_filename=A02__panduan-fakultas-ilmu-komputer__2025-2026__verif1__2026-07-25.pdf; locator_type=PDF_PAGE; pdf_page_start=34; pdf_page_end=35; printed_page_start=27; printed_page_end=28; section=2.4.3 -->,PASS
CHLOC-0030,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0006,A02,DOC-A02-ACTIVE,CLN-A02-ACTIVE-001,34,35,NOT_APPLICABLE,<!-- locator: source_id=A02; raw_filename=A02__panduan-fakultas-ilmu-komputer__2025-2026__verif1__2026-07-25.pdf; locator_type=PDF_PAGE; pdf_page_start=34; pdf_page_end=35; printed_page_start=27; printed_page_end=28; section=2.4.3 -->,PASS
CHLOC-0031,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0007,A02,DOC-A02-ACTIVE,CLN-A02-ACTIVE-001,34,35,NOT_APPLICABLE,<!-- locator: source_id=A02; raw_filename=A02__panduan-fakultas-ilmu-komputer__2025-2026__verif1__2026-07-25.pdf; locator_type=PDF_PAGE; pdf_page_start=34; pdf_page_end=35; printed_page_start=27; printed_page_end=28; section=2.4.3 -->,PASS
CHLOC-0032,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0008,A02,DOC-A02-ACTIVE,CLN-A02-ACTIVE-001,34,35,NOT_APPLICABLE,<!-- locator: source_id=A02; raw_filename=A02__panduan-fakultas-ilmu-komputer__2025-2026__verif1__2026-07-25.pdf; locator_type=PDF_PAGE; pdf_page_start=34; pdf_page_end=35; printed_page_start=27; printed_page_end=28; section=2.4.3 -->,PASS
CHLOC-0033,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0009,A02,DOC-A02-ACTIVE,CLN-A02-ACTIVE-001,35,36,NOT_APPLICABLE,<!-- locator: source_id=A02; raw_filename=A02__panduan-fakultas-ilmu-komputer__2025-2026__verif1__2026-07-25.pdf; locator_type=PDF_PAGE; pdf_page_start=35; pdf_page_end=36; printed_page_start=28; printed_page_end=29; section=2.4.5 -->,PASS
CHLOC-0034,CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0010,A02,DOC-A02-ACTIVE,CLN-A02-ACTIVE-001,36,36,NOT_APPLICABLE,<!-- locator: source_id=A02; raw_filename=A02__panduan-fakultas-ilmu-komputer__2025-2026__verif1__2026-07-25.pdf; locator_type=PDF_PAGE; pdf_page_start=36; pdf_page_end=36; printed_page_start=29; printed_page_end=29; section=2.4.7 -->,PASS
CHLOC-0035,CH-ACA-A06-DOC-A06-CURRICULUM_INDEX-0001,A06,DOC-A06,CLN-A06-001,NOT_APPLICABLE,NOT_APPLICABLE,uagb-tabs__tab1,<!-- locator: source_id=A06; raw_filename=A06__kurikulum-rps-s1-informatika__2025__snapshot__2026-07-24.html; locator_type=HTML_HEADING; heading=MataKuliah > Kurikulum 2025; anchor=uagb-tabs__tab1 -->,PASS
CHLOC-0036,CH-ACA-A06-DOC-A06-CURRICULUM_INDEX-0002,A06,DOC-A06,CLN-A06-001,NOT_APPLICABLE,NOT_APPLICABLE,uagb-tabs__tab1,<!-- locator: source_id=A06; raw_filename=A06__kurikulum-rps-s1-informatika__2025__snapshot__2026-07-24.html; locator_type=HTML_HEADING; heading=MataKuliah > Kurikulum 2025; anchor=uagb-tabs__tab1 -->,PASS
CHLOC-0037,CH-ACA-A06-DOC-A06-CURRICULUM_INDEX-0003,A06,DOC-A06,CLN-A06-001,NOT_APPLICABLE,NOT_APPLICABLE,uagb-tabs__tab1,<!-- locator: source_id=A06; raw_filename=A06__kurikulum-rps-s1-informatika__2025__snapshot__2026-07-24.html; locator_type=HTML_HEADING; heading=MataKuliah > Kurikulum 2025; anchor=uagb-tabs__tab1 -->,PASS
CHLOC-0038,CH-ACA-A06-DOC-A06-CURRICULUM_INDEX-0004,A06,DOC-A06,CLN-A06-001,NOT_APPLICABLE,NOT_APPLICABLE,uagb-tabs__tab1,<!-- locator: source_id=A06; raw_filename=A06__kurikulum-rps-s1-informatika__2025__snapshot__2026-07-24.html; locator_type=HTML_HEADING; heading=MataKuliah > Kurikulum 2025; anchor=uagb-tabs__tab1 -->,PASS
CHLOC-0039,CH-ACA-A07-DOC-A07-ACTIVE-GRADUATION_POLICY-0001,A07,DOC-A07-ACTIVE,CLN-A07-ACTIVE-001,NOT_APPLICABLE,NOT_APPLICABLE,entry-content,<!-- locator: source_id=A07; raw_filename=A07__jalur-lulus-s1-informatika__2025__snapshot__2026-07-24.html; locator_type=HTML_HEADING; heading_hierarchy=Syarat Akademis|Dokumen|Jalur Kelulusan|Jalur Reguler|Jalur Non-Reguler|Standar Kualitas; anchor=entry-content; published_at=2025-06-12 -->,PASS
CHLOC-0040,CH-ACA-A07-DOC-A07-ACTIVE-GRADUATION_POLICY-0002,A07,DOC-A07-ACTIVE,CLN-A07-ACTIVE-001,NOT_APPLICABLE,NOT_APPLICABLE,entry-content,<!-- locator: source_id=A07; raw_filename=A07__jalur-lulus-s1-informatika__2025__snapshot__2026-07-24.html; locator_type=HTML_HEADING; heading_hierarchy=Syarat Akademis|Dokumen|Jalur Kelulusan|Jalur Reguler|Jalur Non-Reguler|Standar Kualitas; anchor=entry-content; published_at=2025-06-12 -->,PASS
CHLOC-0041,CH-ACA-A07-DOC-A07-ACTIVE-GRADUATION_POLICY-0003,A07,DOC-A07-ACTIVE,CLN-A07-ACTIVE-001,NOT_APPLICABLE,NOT_APPLICABLE,entry-content,<!-- locator: source_id=A07; raw_filename=A07__jalur-lulus-s1-informatika__2025__snapshot__2026-07-24.html; locator_type=HTML_HEADING; heading_hierarchy=Syarat Akademis|Dokumen|Jalur Kelulusan|Jalur Reguler|Jalur Non-Reguler|Standar Kualitas; anchor=entry-content; published_at=2025-06-12 -->,PASS
